Timestamp,"Вы поступили туда, куда хотели?",Имеется ли у вас интерес к профессии?,Работаете ли вы по профессии?,Почему вы учитесь в БГУИРе?,Ощущаете ли вы нехватку возможности выбирать интересующие вас предметы для изучения? ,Сдаёте ли вы чужие работы?,"Если сдаёте чужие работы, то почему?",Оцените качество методических пособий по учебным предметам (в том числе к лабораторным работам),Считаете ли вы дистанционное обучение эффективным?,"Ситуация, когда предмет интересный, а подача плохая, возникает","Ситуация, когда предмет кажется бесполезным, возникает","Считаете ли вы, что практика обязательного распределения приносит вам пользу (социальная защищённость, помощь в поиске первого рабочего места, и т.д.)","Считаете ли вы, что практика обязательного распределения приносит вам вред (ограниченность в выборе и смене рабочего места, невозможность продолжать учёбу за рубежом, и т.д.) ","Эмоции, которые вы получаете от всех частей учебного процесса, скорее",Желаете ли вы продолжить формальное образование с целью получения знаний после выпуска?,"Прямо сейчас у вас есть выбор: получить диплом и выпуститься, или же остаться и доучиться. В обоих случаях армия (для мужчин) и распределение по вашему желанию, место для жилья в Минске вам обеспечено. Ваш диплом и диплом человека, который останется и дослушает все курсы, не будет отличаться. Ваши действия?",Интересуетесь ли вы общественно-политической ситуацией в Республике Беларусь? ,Есть ли у вас желание уехать из Республики Беларусь?,Состоите ли вы в БРСМ? ,"Как вы относитесь к БРСМ? (нет, нам не заплатили за этот опрос)","Выбираете ли вы не выражать публично свои общественно-политические взгляды под страхом возможных репрессий со стороны университета? (отчисление, лишение общежития, и т.д.)",Каких кандидатов в президенты на выборах 2020 вы поддерживаете? (вы можете не отвечать на этот вопрос. Мы выделили наиболее популярных кандидатов по результатам интернет-опросов),Какой курс вы сейчас заканчиваете? ,Ваш факультет,Ваша форма обучения,Ваш пол,И напоследок: опишите БГУИР парой слов или одним предложением,Хотите ещё что-нибудь добавить?
6/22/2020 16:53:22,"Да, и университет, и специальность",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей",Нет,"Да, часто","Нехватка времени, Отсутствие интереса к предмету",Нормальное,Затрудняюсь ответить,Часто,Часто,Затрудняюсь ответить,Затрудняюсь ответить,Нейтральные,Нет,Получить диплом и выпуститься,"Да, активно интересуюсь","Возможно, когда-нибудь уеду",Да,Отрицательно,Да,"Бабарико В.Д., Цепкало В.В.",4,ФКСиС,Платная,Мужской,Жестко,
6/22/2020 16:54:36,"Да, и университет, и специальность","Не было до поступления, но появился","Да, с 4 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Друзья/знакомые/мнение родителей",Да,"Да, но редко",Отсутствие интереса к предмету,Плохое,Затрудняюсь ответить,Редко,Иногда,Нет,Да,Нейтральные,"Да, но за рубежом",Получить диплом и выпуститься,"Скорее да, чем нет",Не собираюсь уезжать,Да,Нейтрально,Да,Бабарико В.Д.,4,ФКСиС,Бюджетная,Женский,интересная задумка тупое исполнение,
6/22/2020 16:55:26,"Университет - да, специальность - нет","Был до поступления, но пропал","Работаю, но не по профессии","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом",Нет,"Да, практически всегда","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Плохое,"Скорее нет, чем да",Часто,Часто,Затрудняюсь ответить,Затрудняюсь ответить,Нейтральные,Затрудняюсь ответить,Я уже выпустился/выпускаюсь,"Да, активно интересуюсь",Не собираюсь уезжать,Да,Крайне отрицательно,Да,"Бабарико В.Д., Цепкало В.В.",4,ФКСиС,Платная,Женский,"БГУИР - один из лучших универов, дающих возможность в будущем работать не только за еду",Буду скучать по универу 
6/22/2020 16:55:29,"Да, и университет, и специальность",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Общественная жизнь университета, Друзья/знакомые/мнение родителей",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Нормальное,"Скорее нет, чем да",Иногда,Иногда,Нет,Да,Нейтральные,Затрудняюсь ответить,Я уже выпустился/выпускаюсь,"Да, активно интересуюсь","Возможно, когда-нибудь уеду",Нет,Крайне отрицательно,Нет,"Бабарико В.Д., Тихановская С.Г., Цепкало В.В.",4,ФКСиС,Бюджетная,Мужской,Не хватает адекватных преподов ,Спасибо!
6/22/2020 16:56:11,"Да, и университет, и специальность",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Друзья/знакомые/мнение родителей",Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Плохое,"Скорее нет, чем да",Часто,Иногда,Нет,Затрудняюсь ответить,Нейтральные,"Да, но за рубежом",Я уже выпустился/выпускаюсь,"Скорее да, чем нет","Возможно, когда-нибудь уеду",Нет,Нейтрально,Да,"Бабарико В.Д., Тихановская С.Г., Цепкало В.В., Другой кандидат",4,ФКСиС,Бюджетная,Мужской,"Лучше *** макать в кефире, чем учиться в БГУИРе","Очень рад, что пару дней назад защитил диплом, надеюсь больше с нашей шарагой меня ничего связывать не будет, во всяком случае до тех пор, пока там не начнут происходить реально, так сказать, полезные и нужные изменения по процессу обучения."
6/22/2020 16:56:14,"Да, и университет, и специальность","Не было до поступления, но появился",Нигде не работаю,"Отсрочка от армии, Друзья/знакомые/мнение родителей",Да,"Да, но крайне редко",Отсутствие интереса к предмету,Плохое,"Скорее нет, чем да",Иногда,Часто,Нет,Да,Позитивные,"Да, но за рубежом",Доучиться,"Скорее да, чем нет","Возможно, когда-нибудь уеду",Нет,Крайне отрицательно,Да,"Бабарико В.Д., Тихановская С.Г., Цепкало В.В.",1,ФКСиС,Платная,Мужской,вореые ,
6/22/2020 16:56:40,Нет,"Был до поступления, но пропал",Нигде не работаю,Нужен диплом,Да,"Да, но редко","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Нормальное,"Скорее да, чем нет",Иногда,Очень часто или постоянно,Нет,Да,Негативные,"Да, не в БГУИР, но в Беларуси",Получить диплом и выпуститься,"Скорее да, чем нет","Возможно, когда-нибудь уеду",Нет,Крайне отрицательно,Нет,Бабарико В.Д.,1,ФКСиС,Платная,Мужской,Бгуир ,
6/22/2020 16:56:48,"Да, и университет, и специальность",Нет,Нигде не работаю,"Нужен диплом, Друзья/знакомые/мнение родителей",Да,"Да, но крайне редко",Отсутствие интереса к предмету,Нормальное,Нет,Часто,Очень часто или постоянно,Нет,Да,Негативные,"Да, но за рубежом",Получить диплом и выпуститься,"Да, активно интересуюсь",Есть желание уехать,Нет,Крайне отрицательно,Да,"Бабарико В.Д., Тихановская С.Г., Цепкало В.В.",2,ФКСиС,Платная,Мужской,Я тут учусь.,
6/22/2020 16:57:05,"Да, и университет, и специальность",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске",Нет,"Да, но редко",Отсутствие интереса к предмету,Нормальное,"Скорее нет, чем да",Иногда,Иногда,Нет,Да,Позитивные,Затрудняюсь ответить,Доучиться,"Да, активно интересуюсь","Возможно, когда-нибудь уеду",Да,Нейтрально,Нет,"Бабарико В.Д., Тихановская С.Г., Цепкало В.В.",3,ФКСиС,Бюджетная,Женский,-,
6/22/2020 16:57:25,"Да, и университет, и специальность","Был до поступления, но пропал","Работаю, но не по профессии",Отсрочка от армии,Да,"Да, практически всегда","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Плохое,Нет,Часто,Иногда,Нет,Да,Негативные,Нет,Получить диплом и выпуститься,"Скорее да, чем нет","Возможно, когда-нибудь уеду",Да,Отрицательно,Нет,"Бабарико В.Д., Тихановская С.Г., Цепкало В.В.",2,ФКСиС,Платная,Мужской,Говно залупа пенис хер,И врагу не пожелаю здесь учиться. Вадымцев или как там его лох
6/22/2020 16:57:27,"Да, и университет, и специальность",Да,Нигде не работаю,"Нужен диплом, Отсрочка от армии",Да,"Да, но редко",Отсутствие интереса к предмету,Ужасное,Нет,Часто,Очень часто или постоянно,Нет,Да,Крайне негативные,"Да, но за рубежом",Получить диплом и выпуститься,"Да, активно интересуюсь","Возможно, когда-нибудь уеду",Нет,Нейтрально,Да,,1,ФКСиС,Бюджетная,Мужской,Имитация деятельности с попыткой придать важности происходящему ,
6/22/2020 16:57:28,"Университет - да, специальность - было без разницы",Затрудняюсь ответить,"Работаю, но не по профессии","Считаю БГУИР хорошим местом для получения знаний, Общественная жизнь университета",Да,"Да, но крайне редко",Отсутствие интереса к предмету,Плохое,"Скорее нет, чем да",Часто,Часто,Затрудняюсь ответить,Затрудняюсь ответить,Позитивные,Затрудняюсь ответить,Получить диплом и выпуститься,"Да, активно интересуюсь","Возможно, когда-нибудь уеду",Да,Нейтрально,Нет,"Бабарико В.Д., Цепкало В.В.",1,ФКСиС,Бюджетная,Женский,"На Ксисе самый крутой деканат:) А когда будет степендия как у всех вузов, а не самая низкая? ",
6/22/2020 16:57:36,"Да, и университет, и специальность",Да,Нигде не работаю,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии",Да,"Да, но крайне редко",Отсутствие интереса к предмету,Нормальное,"Скорее да, чем нет",Редко,Очень часто или постоянно,Нет,Да,Позитивные,Затрудняюсь ответить,Получить диплом и выпуститься,"Да, активно интересуюсь",Не собираюсь уезжать,Да,Крайне отрицательно,Нет,Бабарико В.Д.,1,ФКСиС,Бюджетная,Мужской,норм,
6/22/2020 16:57:43,"Да, и университет, и специальность",Да,Нигде не работаю,Нужен диплом,Да,Сдаю только свои работы,,Нормальное,"Скорее да, чем нет",Иногда,Иногда,Нет,Да,Нейтральные,Затрудняюсь ответить,Доучиться,Не интересуюсь,Есть желание уехать,Нет,Крайне отрицательно,Нет,Бабарико В.Д.,2,ФКСиС,Платная,Мужской,люблю пожёстче,
6/22/2020 16:57:53,"Да, и университет, и специальность",Да,Нигде не работаю,Считаю БГУИР хорошим местом для получения знаний,Да,"Да, но крайне редко",Нехватка времени,Нормальное,"Скорее да, чем нет",Иногда,Иногда,Затрудняюсь ответить,Затрудняюсь ответить,Позитивные,"Да, но за рубежом",Я уже выпустился/выпускаюсь,"Скорее да, чем нет","Возможно, когда-нибудь уеду",Нет,Нейтрально,Затрудняюсь ответить,,4,ФКСиС,Платная,Мужской,Ящик,
6/22/2020 16:57:54,"Да, и университет, и специальность",Затрудняюсь ответить,Нигде не работаю,"Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей",Да,"Да, практически всегда","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Нормальное,"Скорее нет, чем да",Иногда,Часто,Нет,Затрудняюсь ответить,Негативные,Нет,Получить диплом и выпуститься,"Скорее да, чем нет","Возможно, когда-нибудь уеду",Нет,Отрицательно,Да,"Бабарико В.Д., Цепкало В.В.",2,ФКСиС,Платная,Мужской,платим за трудности в жизни,
6/22/2020 16:57:55,"Да, и университет, и специальность",Нет,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом",Да,"Да, часто",Нехватка времени,Нормальное,Нет,Иногда,Часто,Да,Да,Нейтральные,Нет,Доучиться,"Скорее да, чем нет","Возможно, когда-нибудь уеду",Нет,Отрицательно,Да,,3,ФКСиС,Бюджетная,Женский,-,
6/22/2020 16:58:04,"Да, и университет, и специальность",Да,Нигде не работаю,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Нормальное,Да,Иногда,Часто,Затрудняюсь ответить,Затрудняюсь ответить,Нейтральные,"Да, но за рубежом",Получить диплом и выпуститься,"Да, активно интересуюсь",Есть желание уехать,Да,Крайне отрицательно,Нет,"Бабарико В.Д., Цепкало В.В.",2,ФКСиС,Платная,Мужской,...,
6/22/2020 16:58:04,"Да, и университет, и специальность",Да,Нигде не работаю,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету",Нормальное,Нет,Часто,Часто,Затрудняюсь ответить,Затрудняюсь ответить,Позитивные,"Да, в БГУИР",Доучиться,"Скорее да, чем нет",Есть желание уехать,Нет,Крайне отрицательно,Затрудняюсь ответить,"Бабарико В.Д., Цепкало В.В.",2,ФКСиС,Бюджетная,Мужской,Хороший фундамент знаний,
6/22/2020 16:58:09,"Да, и университет, и специальность",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Нормальное,"Скорее да, чем нет",Часто,Иногда,Затрудняюсь ответить,Да,Позитивные,"Да, в БГУИР",Получить диплом и выпуститься,"Да, активно интересуюсь",Есть желание уехать,Нет,Крайне отрицательно,Нет,"Бабарико В.Д., Цепкало В.В.",3,ФИТУ,Бюджетная,Мужской,"Интересно, но порой неактуально",
6/22/2020 16:58:23,"Университет - да, специальность - нет","Был до поступления, но пропал","Да, с 1 курса","Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету",Плохое,Затрудняюсь ответить,Часто,Очень часто или постоянно,Нет,Да,Нейтральные,"Да, но за рубежом",Получить диплом и выпуститься,"Скорее да, чем нет","Возможно, когда-нибудь уеду",Да,Крайне отрицательно,Нет,"Бабарико В.Д., Цепкало В.В.",2,ФКП,Платная,Мужской,ША РА ГА,
6/22/2020 16:58:24,"Да, и университет, и специальность","Не было до поступления, но появился","Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Нормальное,"Скорее нет, чем да",Часто,Иногда,Нет,Да,Нейтральные,Затрудняюсь ответить,Я уже выпустился/выпускаюсь,"Скорее да, чем нет",Есть желание уехать,Нет,Отрицательно,Затрудняюсь ответить,"Бабарико В.Д., Цепкало В.В.",4,ФКСиС,Платная,Мужской,-,
6/22/2020 16:58:29,"Да, и университет, и специальность",Да,Нигде не работаю,Считаю БГУИР хорошим местом для получения знаний,Да,"Да, но крайне редко",Нехватка времени,Плохое,"Скорее да, чем нет",Очень часто или постоянно,Часто,Затрудняюсь ответить,Затрудняюсь ответить,Нейтральные,"Да, но за рубежом",Я уже выпустился/выпускаюсь,"Скорее да, чем нет",Есть желание уехать,Нет,Крайне отрицательно,Затрудняюсь ответить,Другой кандидат,4,ФКСиС,Платная,Мужской,"Идея хорошая, реализация - как всегда",
6/22/2020 16:58:33,"Да, и университет, и специальность",Да,Нигде не работаю,"Считаю БГУИР хорошим местом для получения знаний, Друзья/знакомые/мнение родителей",Нет,Сдаю только свои работы,,Ужасное,Нет,Часто,Очень часто или постоянно,Нет,Нет,Позитивные,Затрудняюсь ответить,Доучиться,"Да, активно интересуюсь",Есть желание уехать,Нет,Крайне отрицательно,Нет,"Бабарико В.Д., Цепкало В.В.",1,ФКСиС,Бюджетная,Мужской,Классное место чтобы расти над собой,Ненавижу матешу во всех ее проявлениях
6/22/2020 16:58:39,"Да, и университет, и специальность",Да,Нигде не работаю,"Считаю БГУИР хорошим местом для получения знаний, Отсрочка от армии, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске",Нет,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету",Нормальное,Да,Иногда,Иногда,Затрудняюсь ответить,Затрудняюсь ответить,Нейтральные,Затрудняюсь ответить,Доучиться,"Да, активно интересуюсь",Есть желание уехать,Нет,Крайне отрицательно,Да,"Бабарико В.Д., Тихановская С.Г., Цепкало В.В.",2,ФКСиС,Бюджетная,Мужской,Норм,Нет
6/22/2020 16:58:45,"Да, и университет, и специальность",Да,Нигде не работаю,"Нужен диплом, Друзья/знакомые/мнение родителей",Да,"Да, но редко",Отсутствие интереса к предмету,Плохое,"Скорее нет, чем да",Часто,Иногда,Нет,Да,Негативные,Нет,Получить диплом и выпуститься,"Да, активно интересуюсь",Есть желание уехать,Нет,Крайне отрицательно,Нет,Бабарико В.Д.,3,ФКСиС,Платная,Женский,Типичный нормальный университет,
6/22/2020 16:58:48,"Да, и университет, и специальность",Да,"Да, с 3 курса",Нужен диплом,Да,"Да, часто",Отсутствие интереса к предмету,Нормальное,"Скорее нет, чем да",Часто,Иногда,Нет,Да,Нейтральные,Нет,Я уже выпустился/выпускаюсь,"Да, активно интересуюсь","Возможно, когда-нибудь уеду",Да,Крайне отрицательно,Затрудняюсь ответить,"Бабарико В.Д., Цепкало В.В.",4,ФКСиС,Платная,Мужской,"Много слов, мало дела",
6/22/2020 16:58:51,"Да, и университет, и специальность",Да,Нигде не работаю,Считаю БГУИР хорошим местом для получения знаний,Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Нормальное,"Скорее да, чем нет",Редко,Иногда,Нет,Да,Позитивные,"Да, но за рубежом",Доучиться,"Да, активно интересуюсь",Не собираюсь уезжать,Нет,Отрицательно,Да,Бабарико В.Д.,2,ФКСиС,Бюджетная,Мужской,Fisting is three hundred bucks,
6/22/2020 16:58:54,"Да, и университет, и специальность",Да,Нигде не работаю,Считаю БГУИР хорошим местом для получения знаний,Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету",Хорошее,"Скорее нет, чем да",Иногда,Часто,Затрудняюсь ответить,Да,Нейтральные,Нет,Доучиться,"Скорее да, чем нет","Возможно, когда-нибудь уеду",Нет,Нейтрально,Да,,1,ФКСиС,Бюджетная,Мужской,Изи катка,
6/22/2020 16:58:58,"Да, и университет, и специальность",Да,Нигде не работаю,"Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Затрудняюсь ответить,"Скорее да, чем нет",Иногда,Иногда,Нет,Да,Позитивные,"Да, в БГУИР",Доучиться,"Да, активно интересуюсь",Есть желание уехать,Да,Крайне отрицательно,Да,"Бабарико В.Д., Тихановская С.Г., Цепкало В.В., Другой кандидат",2,ФКСиС,Бюджетная,Мужской,Есть хорошие преподы на ПОИТ. Слушаешь с открытым ртом. Но некомпетентных (как мне кажется) тоже достаточно.,Да. КЛИМЕНКОВ ЛУЧШИЙ!!! МЫ ВАС ЛЮБИМ!!! ОСИСП КРУТО! ЕВГЕНИЙ ИВАНОВИЧ <3<3<3
6/22/2020 16:59:27,"Да, и университет, и специальность",Да,"Да, со 2 курса","Нужен диплом, Друзья/знакомые/мнение родителей",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Нормальное,Да,Иногда,Редко,Нет,Да,Нейтральные,Затрудняюсь ответить,Доучиться,"Да, активно интересуюсь",Есть желание уехать,Нет,Крайне отрицательно,Да,"Бабарико В.Д., Цепкало В.В.",3,ФКСиС,Бюджетная,Мужской,Неплохой университет для получения базовых знаний с сфере IT,
6/22/2020 16:59:29,"Да, и университет, и специальность","Был до поступления, но пропал",Нигде не работаю,Общественная жизнь университета,Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету",Плохое,"Скорее нет, чем да",Часто,Очень часто или постоянно,Затрудняюсь ответить,Затрудняюсь ответить,Нейтральные,Затрудняюсь ответить,Получить диплом и выпуститься,"Скорее нет, чем да",Есть желание уехать,Нет,Отрицательно,Нет,"Бабарико В.Д., Цепкало В.В.",3,ФИТУ,Платная,Женский,люди,
6/22/2020 16:59:37,Затрудняюсь ответить,Затрудняюсь ответить,Нигде не работаю,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом",Да,"Да, но крайне редко","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Нормальное,"Скорее нет, чем да",Редко,Иногда,Затрудняюсь ответить,Затрудняюсь ответить,Позитивные,Нет,Доучиться,"Скорее да, чем нет","Возможно, когда-нибудь уеду",Да,Нейтрально,Затрудняюсь ответить,"Бабарико В.Д., Лукашенко А.Г., Тихановская С.Г., Цепкало В.В.",1,ФКП,Платная,Женский,"Место, для получения знаний",
